date,product_id,stock,product_name
2024-05-03,1,104,Product_1
2024-05-03,2,67,Product_2
2024-05-03,3,82,Product_3
2024-05-03,4,47,Product_4
2024-05-03,5,26,Product_5
2024-05-03,6,77,Product_6
2024-05-03,7,181,Product_7
2024-05-03,8,39,Product_8
2024-05-03,9,107,Product_9
2024-05-03,10,47,Product_10
2024-05-03,11,50,Product_11
2024-05-03,12,139,Product_12
2024-05-03,13,147,Product_13
2024-05-03,14,150,Product_14
2024-05-03,15,31,Product_15
2024-05-03,16,142,Product_16
2024-05-03,17,104,Product_17
2024-05-03,18,51,Product_18
2024-05-03,19,28,Product_19
2024-05-03,20,127,Product_20
